name,cr,type,size,ac,hp,speed,Walk Speed,Swim Speed,Fly Speed,Climb Speed,Burrow Speed,align,legendary,source,str,dex,con,int,wis,cha
aarakocra, 1/4,humanoid,Medium,12,13,"walk, fly",20,0,50,0,0,neutral good,,Monster Manual (BR),10,14,10,11,12,11
abjurer, 1/4,humanoid,Medium,12,84,walk,30,0,0,0,0,any alignment,,Volo's Guide to Monsters,9,14,14,18,12,11
aboleth,10,aberration,Large,17,135,swim,,,,,,lawful evil,Legendary,Monster Manual (SRD),21,9,15,18,15,18
abominable-yeti,9,monstrosity,Huge,15,137,"walk, climb",,,,,,chaotic evil,,Monster Manual,24,10,22,9,13,9
acererak,23,undead,Medium,21,285,walk,,,,,,neutral evil,,Adventures (Tomb of Annihilation),13,16,20,27,21,20
acolyte, 1/4,humanoid,Medium,10,9,walk,30,0,0,0,0,any alignment,,Monster Manual (SRD),10,10,10,10,14,11
adult-black-dragon,14,dragon,Huge,19,195,"walk, fly, swim",,,,,,chaotic evil,Legendary,Monster Manual (SRD),23,14,21,14,13,17
adult-blue-dracolich,17,undead,Huge,19,225,"walk, burrow, fly",,,,,,lawful evil,Legendary,Monster Manual,25,10,23,16,15,19
adult-blue-dragon,16,dragon,Huge,19,225,"walk, burrow, fly",,,,,,lawful evil,Legendary,Monster Manual (SRD),25,10,23,16,15,19
adult-brass-dragon,13,dragon,Huge,18,172,"walk, burrow, fly",,,,,,chaotic good,Legendary,Monster Manual (SRD),23,10,21,14,13,17
adult-bronze-dragon,15,dragon,Huge,19,212,"fly, swim",,,,,,lawful good,Legendary,Monster Manual (SRD),25,10,23,16,15,19
adult-copper-dragon,14,dragon,Huge,18,184,fly,,,,,,chaotic good,Legendary,Monster Manual (SRD),23,12,21,18,15,17
adult-gold-dragon,17,dragon,Huge,19,256,"fly, swim",,,,,,lawful good,Legendary,Monster Manual (SRD),27,14,25,16,15,24
adult-green-dragon,15,dragon,Huge,19,207,"fly, swim",,,,,,lawful evil,Legendary,Monster Manual (SRD),23,12,21,18,15,17
adult-kruthik,2,monstrosity,Medium,18,39,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
adult-oblex,5,ooze,Medium,14,75,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
adult-red-dragon,17,dragon,Huge,19,256,fly,,,,,,chaotic evil,Legendary,Monster Manual (SRD),27,10,25,16,13,21
adult-silver-dragon,16,dragon,Huge,19,243,fly,,,,,,lawful good,Legendary,Monster Manual (SRD),27,10,25,16,13,21
adult-white-dragon,13,dragon,Huge,18,200,"fly, swim",,,,,,chaotic evil,Legendary,Monster Manual (SRD),22,10,22,8,12,12
air-elemental,5,elemental,Large,15,90,fly,,,,,,neutral,,Monster Manual (SRD),14,20,14,6,10,6
air-elemental-myrmidon,7,elemental,Medium,18,117,fly,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
albino-dwarf-warrior,1/4,humanoid,Medium,13,30,walk,25,0,0,0,0,any alignment,,Adventures (Tomb of Annihilation),13,13,17,12,14,11
aldani,1,monstrosity,Medium,0,0,swim,,,,,,lawful neutral,,Adventures (Tomb of Annihilation),,,,,,
alhoon,10,undead,Medium,15,120,,,,,,,any evil alignment,,Volo's Guide to Monsters,,,,,,
alkilith,11,fiend (demon),Medium,17,157,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
allip,5,undead,Medium,13,40,fly,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
allosaurus,2,beast,Large,13,51,,,,,,,unaligned,,Monster Manual (SRD),19,13,17,2,12,5
ambush-drake,1/2,dragon,Medium,13,22,,,,,,,unaligned,,Adventures (Tyranny of Dragons),,,,,,
amnizu,18,fiend (devil),Medium,21,202,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
ancient-black-dragon,21,dragon,Gargantuan,22,367,"fly, swim",,,,,,chaotic evil,Legendary,Monster Manual (SRD),27,14,25,16,15,19
ancient-blue-dragon,23,dragon,Gargantuan,22,481,fly,,,,,,lawful evil,Legendary,Monster Manual (SRD),29,10,27,18,17,21
ancient-brass-dragon,20,dragon,Gargantuan,20,297,fly,,,,,,chaotic good,Legendary,Monster Manual (SRD),27,10,25,16,15,19
ancient-bronze-dragon,22,dragon,Gargantuan,22,444,"fly, swim",,,,,,lawful good,Legendary,Monster Manual (SRD),29,10,27,18,17,21
ancient-copper-dragon,21,dragon,Gargantuan,21,350,fly,,,,,,chaotic good,Legendary,Monster Manual (SRD),27,12,25,20,17,19
ancient-gold-dragon,24,dragon,Gargantuan,22,546,"fly, swim",,,,,,lawful good,Legendary,Monster Manual (SRD),30,14,29,18,17,28
ancient-green-dragon,22,dragon,Gargantuan,21,385,"fly, swim",,,,,,lawful evil,Legendary,Monster Manual (SRD),27,12,25,20,17,19
ancient-red-dragon,24,dragon,Gargantuan,22,546,fly,,,,,,chaotic evil,Legendary,Monster Manual (SRD),30,10,29,18,15,23
ancient-shadow,1,undead,Medium,13,32,,,,,,,chaotic evil,,Extra (AideDD),6,16,14,6,10,8
ancient-silver-dragon,23,dragon,Gargantuan,22,487,fly,,,,,,lawful good,Legendary,Monster Manual (SRD),30,10,29,18,15,23
ancient-white-dragon,20,dragon,Gargantuan,20,333,"fly, swim",,,,,,chaotic evil,Legendary,Monster Manual (SRD),26,10,26,10,13,14
androsphinx,17,monstrosity,Large,17,199,fly,,,,,,lawful neutral,Legendary,Monster Manual (SRD),22,10,20,16,18,23
animated-armor,1,construct,Medium,18,33,,,,,,,unaligned,,Monster Manual (SRD),14,11,13,1,3,1
ankheg,2,monstrosity,Large,14,39,,,,,,,unaligned,,Monster Manual (SRD),17,11,13,1,13,6
ankylosaurus,3,beast,Huge,15,68,,,,,,,unaligned,,Monster Manual (SRD),19,11,15,2,12,5
annis-hag,6,fey,Large,17,75,,,,,,,chaotic evil,,Volo's Guide to Monsters,21,12,14,13,14,15
ape,1/2,beast,Medium,12,19,,,,,,,unaligned,,Monster Manual (SRD),16,14,14,6,12,7
apprentice-wizard,1/4,humanoid,Medium,10,9,walk,30,0,0,0,0,any alignment,,Volo's Guide to Monsters,10,10,10,14,10,11
arcanaloth,12,fiend (yugoloth),Medium,17,104,fly,,,,,,neutral evil,,Monster Manual,,,,,,
archdruid,12,humanoid,Medium,16,132,walk,30,0,0,0,0,any alignment,,Volo's Guide to Monsters,10,14,12,12,20,11
archer,3,humanoid,Medium,16,75,walk,30,0,0,0,0,any alignment,,Volo's Guide to Monsters,11,18,16,11,13,10
archmage,12,humanoid,Medium,12,99,walk,30,0,0,0,0,any alignment,,Monster Manual (SRD),10,14,12,20,15,16
armanite,7,fiend (demon),Large,16,84,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
assassin,8,humanoid,Medium,15,78,walk,30,0,0,0,0,any non-good alignment,,Monster Manual (SRD),11,16,14,13,11,10
assassin-vine,3,plant,Large,13,85,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
astral-dreadnought,21,monstrosity,Gargantuan,20,297,fly,,,,,,unaligned,Legendary,Mordenkainen's Tome of Foes,28,7,25,5,14,18
atropal,13,undead,Huge,7,225,fly,,,,,,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
aurochs,2,beast,Large,11,38,,,,,,,unaligned,,Volo's Guide to Monsters,20,10,19,2,12,5
autumn-eladrin,10,fey,Medium,19,127,,,,,,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
awakened-shrub,0,plant,Small,9,10,,,,,,,unaligned,,Monster Manual (SRD),3,8,11,10,10,6
awakened-tree,2,plant,Huge,13,59,,,,,,,unaligned,,Monster Manual (SRD),19,6,15,10,10,7
