name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
dolphin,https://www.aidedd.org/dnd/monstres.php?vo=dolphin,1/8,beast,Medium,12,11,swim,unaligned,,Volo's Guide to Monsters,14.0,13.0,13.0,6.0,12.0,7.0
red-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=red-dragon-wyrmling,4,dragon,Medium,17,75,fly,chaotic evil,,Monster Manual (SRD),19.0,10.0,17.0,12.0,11.0,15.0
cambion,,5,fiend,Medium,19,82,fly,any evil alignment,,Monster Manual,,,,,,
laeral-silverhand,https://www.aidedd.org/dnd/monstres.php?vo=laeral-silverhand,17,humanoid (human),Medium,18,228,,chaotic good,,Adventures (Dragon Heist),13.0,17.0,20.0,20.0,20.0,19.0
draft-horse,https://www.aidedd.org/dnd/monstres.php?vo=draft-horse,1/4,beast,Large,10,19,,unaligned,,Monster Manual (SRD),18.0,10.0,12.0,2.0,11.0,7.0
warlord,,12,humanoid (any race),Medium,18,229,,any alignment,Legendary,Volo's Guide to Monsters,,,,,,
hawk,https://www.aidedd.org/dnd/monstres.php?vo=hawk,0,beast,Tiny,13,1,fly,unaligned,,Monster Manual (SRD),5.0,16.0,8.0,2.0,14.0,6.0
rug-of-smothering,https://www.aidedd.org/dnd/monstres.php?vo=rug-of-smothering,2,construct,Large,12,33,,unaligned,,Monster Manual (SRD),17.0,14.0,10.0,1.0,3.0,1.0
skull-lasher-of-myrkul,,1,humanoid (human),Medium,12,32,,neutral evil,,Adventures (Descent into Avernus),,,,,,
neogi,,3,aberration,Small,15,33,,lawful evil,,Volo's Guide to Monsters,,,,,,
yuan-ti-pureblood,https://www.aidedd.org/dnd/monstres.php?vo=yuan-ti-pureblood,1,humanoid (yuan-ti),Medium,11,40,,neutral evil,,Monster Manual (BR),11.0,12.0,11.0,13.0,12.0,14.0
death-s-head-of-bhaal,,5,humanoid (human),Medium,15,76,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
velociraptor,,1/4,beast,Tiny,13,10,,unaligned,,Volo's Guide to Monsters,,,,,,
warrior-lvl-3,,0,humanoid (any race),Medium,16,26,,any alignment,,Essentials Kit,,,,,,
armanite,,7,fiend (demon),Large,16,84,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
illusionist,,3,humanoid (any race),Medium,12,38,,any alignment,,Volo's Guide to Monsters,,,,,,
minotaur-skeleton,https://www.aidedd.org/dnd/monstres.php?vo=minotaur-skeleton,2,undead,Large,12,67,,lawful evil,,Monster Manual (SRD),18.0,11.0,15.0,6.0,8.0,5.0
retriever,,14,construct,Large,19,210,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
sea-spawn,,1,humanoid,Medium,11,32,swim,neutral evil,,Volo's Guide to Monsters,,,,,,
canoloth,,8,fiend (yugoloth),Medium,16,120,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
troglodyte,https://www.aidedd.org/dnd/monstres.php?vo=troglodyte,1/4,humanoid (troglodyte),Medium,11,13,,chaotic evil,,Monster Manual (BR),14.0,10.0,14.0,6.0,10.0,6.0
bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3,fiend (devil),Medium,13,52,,lawful evil,,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0
summer-eladrin,,10,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
ghast,https://www.aidedd.org/dnd/monstres.php?vo=ghast,2,undead,Medium,13,36,,chaotic evil,,Monster Manual (SRD),16.0,17.0,10.0,11.0,10.0,8.0
needle-blight,,1/4,plant,Medium,12,11,,neutral evil,,Monster Manual,,,,,,
