,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
0,aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1/4,humanoid (aarakocra),Medium,12,13,fly,neutral good,0,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0
1,abjurer,0,9,humanoid (any race),Medium,12,84,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
2,aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10,aberration,Large,17,135,swim,lawful evil,Legendary,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0
3,abominable-yeti,0,9,monstrosity,Huge,15,137,0,chaotic evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
4,acererak,0,23,undead,Medium,21,285,0,neutral evil,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
5,acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,1/4,humanoid (any race),Medium,10,9,0,any alignment,0,Monster Manual (SRD),10.0,10.0,10.0,10.0,14.0,11.0
6,adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14,dragon,Huge,19,195,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0
7,adult-blue-dracolich,0,17,undead,Huge,19,225,fly,lawful evil,Legendary,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
8,adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,16,dragon,Huge,19,225,fly,lawful evil,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
9,adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,13,dragon,Huge,18,172,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,10.0,21.0,14.0,13.0,17.0
10,adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15,dragon,Huge,19,212,"fly, swim",lawful good,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
