,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,legendary_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
0,aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1,humanoid (aarakocra),Medium,12,13,fly,neutral good,0,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0,1,0,0,0,0,0,0
1,abjurer,,12,humanoid (any race),Medium,12,84,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
2,aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,13,aberration,Large,17,135,swim,lawful evil,1,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0,0,0,0,0,0,0,0
3,abominable-yeti,,12,monstrosity,Huge,15,137,,chaotic evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
4,acererak,,26,undead,Medium,21,285,,neutral evil,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
5,acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,1,humanoid (any race),Medium,10,9,,any alignment,0,Monster Manual (SRD),10.0,10.0,10.0,10.0,14.0,11.0,1,0,0,0,0,0,0
6,adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,17,dragon,Huge,19,195,"fly, swim",chaotic evil,1,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0,0,0,0,0,0,0,0
7,adult-blue-dracolich,,20,undead,Huge,19,225,fly,lawful evil,1,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,1,1,1,1,1
8,adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,19,dragon,Huge,19,225,fly,lawful evil,1,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0,0,0,0,0,0,0,0
9,adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,16,dragon,Huge,18,172,fly,chaotic good,1,Monster Manual (SRD),23.0,10.0,21.0,14.0,13.0,17.0,0,0,0,0,0,0,0
10,adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,18,dragon,Huge,19,212,"fly, swim",lawful good,1,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0,0,0,0,0,0,0,0
11,adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,17,dragon,Huge,18,184,fly,chaotic good,1,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0,0,0,0,0,0,0,0
12,adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,20,dragon,Huge,19,256,"fly, swim",lawful good,1,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0,0,0,0,0,0,0,0
13,adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,18,dragon,Huge,19,207,"fly, swim",lawful evil,1,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0,0,0,0,0,0,0,0
14,adult-kruthik,,5,monstrosity,Medium,18,39,,unaligned,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
15,adult-oblex,,8,ooze,Medium,14,75,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
