,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
0,Nezznar the Black Spider,0,0,5,14,27,6d8,N E,humanoid,Elf,,M,9,13,10,16,14,13,-1,5,4,-1,-1,-1,5,-1,-1,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,SD,30,,-1,,-1,,-1,special form,-1,True,"[""Fey Ancestry"",""Sunlight Sensitivity""]",Int,"C,L,O","CW,I","[""invisible""]","[""dexterity"",""wisdom""]",True,,False,False,,"B, I",,-1,0,,,,False,,,,,"[""Elvish"",""Undercommon""]","E,U",,,MW,LMoP,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
1,Boloti,0,0,4,15,45,10d4 + 20,N E,fey,,,T,12,20,14,13,12,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,D,20,,-1,,-1,,-1,special form,40,True,"[""Amphibious"",""Camouflage""]",Int,B,F,"[""unconscious""]","[""strength""]",True,,True,False,"[""grappled"",""restrained""]","B, P","[""strength""]",-1,0,,,,False,,,,,"[""Common"",""Primordial"",""Sylvan""]","C,P,S",dagger,swamp,"MLW,MW, RW, THW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2,Android,0,1,8,15,91,14d8 + 28,L N,construct,,,M,18,18,15,12,13,10,-1,-1,4,5,-1,-1,-1,4,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,"B, D",30,,-1,,-1,special form; hover,30,special form,30,True,,Int,,O,,,True,"[""Multiattack"",""Parry""]",False,True,,O,"[""constitution"",""strength""]",-1,0,,,,False,"[""acid"",""fire""]",,"[""cold"",""poison""]","[""exhaustion"",""poisoned""]","[""Common plus the languages spoken by its creator""]",C,,,"MW, RW",QftIS,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
3,Magma Landshark,0,1,17,18,150,12d12 + 72,,elemental,,,H,22,11,22,2,14,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,"D, T",50,,50,,-1,,-1,special form,50,True,"[""Illumination""]",,,,,,True,"[""Swallow""]",False,False,"[""blinded"",""prone"",""restrained""]","B, F,P",,-1,0,,,,False,,,"[""fire""]",,,,,"mountain, underdark","AOE, MW",TDCSR,False,,,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1
4,Young Magma Landshark,0,1,12,16,105,10d10 + 50,,elemental,,,L,20,11,21,2,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,"D, T",40,,40,,-1,,-1,special form,40,True,"[""Illumination""]",,,,,,True,,False,False,"[""prone""]","B, F,P",,-1,0,,,,False,,,"[""fire""]",,,,,"mountain, underdark","AOE, MW",TDCSR,False,,,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1
5,Galsariad Ardyth (Tier 3),0,0,11,17,90,20d8,N,humanoid,"drow, wizard",,M,8,14,10,20,15,12,-1,8,5,-1,-1,-1,8,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,0,12,SD,30,,-1,,-1,hover,30,with item ,40,True,"[""Fey Ancestry""]",Int,,O,"[""restrained""]","[""wisdom""]",True,"[""Multiattack""]",True,False,"[""exhaustion"",""restrained""]","N,O,P,Y","[""charisma"",""strength""]",-1,0,,,,False,,,,,"[""Common"",""Draconic"",""Undercommon""]","C,DR,U",ruidium dagger,,"AOE, MLW,MW, RW, THW",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
6,Maggie Keeneyes (Tier 3),0,0,11,18,142,15d10 + 60,L N,giant,ogre,,L,20,14,18,14,14,8,-1,-1,-1,7,-1,8,-1,-1,5,5,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,5,-1,-1,-1,1,16,D,30,,-1,,-1,,-1,with item ,30,True,,,,,,,True,"[""Multiattack""]",True,False,"[""exhaustion"",""prone""]","B, S","[""charisma"",""strength""]",-1,0,,,,False,"[{""note"":""(granted by ruidium armor)"",""resist"":[""psychic""]}]",,,"[""charmed"",""frightened""]","[""Common"",""Giant""]","C,GI",,,"MLW,MW, RCH, RW",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
7,Dermot Wurder (Tier 3),0,0,11,20,93,17d6 + 34,L G,humanoid,"cleric, goblin, goblinoid",,S,18,12,14,10,20,10,3,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,3,-1,8,0,15,D,30,,-1,,-1,,-1,with item ,30,True,,Wis,,O,,"[""dexterity""]",True,"[""Multiattack""]",False,False,"[""blinded"",""exhaustion""]","B, R,Y","[""charisma""]",-1,0,,,,False,,,,,"[""Common"",""Goblin"",""Orc""]","C,GO,O",ruidium warhammer,,"MLW,MW",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
8,Irvan Wastewalker (Tier 3),0,0,11,17,123,19d8 + 38,C N,humanoid,Human,,M,10,20,14,16,16,16,-1,-1,-1,5,8,-1,-1,-1,-1,-1,-1,11,-1,8,-1,-1,9,-1,-1,-1,-1,-1,-1,6,0,13,,40,,-1,,-1,,-1,with item ,40,True,,,,,,,True,"[""Multiattack""]",False,False,"[""exhaustion""]","I,P,Y","[""charisma""]",-1,0,,,,False,,,,,"[""Common"",""Goblin"",""Orc""]","C,GO,O","dagger, ruidium shortsword",,"MLW,MW, RW, THW",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
9,Scanlan Shorthalt,0,1,18,16,190,20d8 + 60 + 40,,humanoid,gnome,,S,13,11,16,16,7,22,13,5,0,5,7,3,8,-1,-1,-1,16,-1,13,5,-1,6,16,11,-1,-1,16,-1,-1,-1,0,8,D,25,,-1,,-1,,-1,,-1,True,,Cha,"B, L,O,T, Y",CB,"[""blinded"",""charmed"",""deafened"",""frightened"",""incapacitated"",""invisible"",""paralyzed"",""unconscious""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",True,,True,True,,"O,P",,-1,0,,,,False,"[""acid""]",,,,"[""Common"",""Gnomish"",""Marquesian""]",C G,,,MW,TDCSR,False,"[""Vox Machina""]",,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
