name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Flumph,,,1/8,12,7,2d6,L G,aberration,,,S,6,15,10,14,14,11,,,,,,,4,4,,,,,,,,,,,,,,4,,,,12,D,5,,,,,,30,,,,,TRUE,,,,,,,TRUE,,,FALSE,"[""poisoned"",""prone""]","A, P","[""constitution"",""dexterity""]",,FALSE,,,,FALSE,,"[""psychic""]",,,"[""understands Undercommon but can't speak"",""telepathy 60 ft.""]","CS,TP,U",,underdark,"AOE, MW",MM,FALSE,,,,,,TRUE,
Goon Balloon,,,1/8,10,6,1d8 + 2,C E,aberration,,,M,10,11,14,11,14,4,,,4,4,,,,,,6,,,,,,,,,,,,,,,,16,D,20,,,,20,,,,,,,TRUE,"[""Unusual Nature""]",,,,,,TRUE,"[""Multiattack""]","[{""entries"":[""The goon balloon moves up to 20 feet vertically in one direction without provoking opportunity attacks. If it ends this movement suspended in the air, it hovers in place. It can't be knocked {@condition prone} while airborne.""],""name"":""Float""}]",FALSE,"[""poisoned"",""prone""]","S,Y","[""constitution"",""wisdom""]",,FALSE,,,,FALSE,,"[""piercing""]",,,"[""Deep Speech""]",DS,,,"AOE, MW",MCV1SC,FALSE,,,,,,,
Neogi Hatchling,,,1/8,11,7,3d4,L E,aberration,,,T,3,13,10,6,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,20,,,,20,,,,,,,TRUE,"[""Spider Climb""]",,,,,,TRUE,,,FALSE,"[""poisoned""]","I,P","[""constitution""]",,FALSE,,,,FALSE,,,,,,,,"underdark, hill",MW,VGM,FALSE,,,,,,TRUE,
Neogi Hatchling,FALSE,,1/8,11,7,3d4,L E,aberration,,,T,3,13,10,6,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,20,,,,20,,,,,,,TRUE,"[""Spider Climb""]",,,,,,TRUE,,,FALSE,"[""poisoned""]","I,P","[""constitution""]",,FALSE,,,,FALSE,,,,,,,,"hill, underdark",MW,MPMM,FALSE,,,,,,,
Slaad Tadpole,,,1/8,12,10,4d4,C N,aberration,,,T,7,15,10,3,5,3,,,,,,,,,,,,4,,,,,,,,,,,,,,7,D,30,,,,,,,,,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,"[""acid"",""cold"",""fire"",""lightning"",""thunder""]",,,,"[""understands Slaad but can't speak""]","CS,OTH",,,MW,MM,FALSE,,,,,,TRUE,
Blood Hawk,,,1/8,12,7,2d6,U,beast,,,S,6,14,10,3,14,5,,,,,,,,,,4,,,,,,,,,,,,,,,,14,,10,,,,,,60,,,,,TRUE,"[""Keen Senses"",""Pack Tactics""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,,,,"mountain, grassland, forest, hill, coastal, arctic",MW,MM,FALSE,,,,,,TRUE,
Camel,,,1/8,9,15,2d10 + 4,U,beast,,,L,16,8,14,2,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,9,,50,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,,,,desert,MW,MM,FALSE,,,,,,TRUE,
Dolphin,,,1/8,12,11,2d8 + 2,U,beast,,,M,14,13,13,6,12,7,,,,,,,,,,3,,,,,,,,,,,,,,,,13,B,0,,,,,,,,60,,,TRUE,"[""Charge"",""Hold Breath""]",,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,,,,"underwater, coastal",MW,VGM,FALSE,,,,,,TRUE,
Dolphin,FALSE,,1/8,12,11,2d8 + 2,U,beast,,,M,14,13,13,6,12,7,,,,,,,,,,3,,,,,,,,,,,,,,,,13,B,0,,,,,,,,60,,,TRUE,"[""Hold Breath""]",,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,,,,"coastal, underwater",MW,MPMM,FALSE,,,,,,,
Flying Snake,,,1/8,14,5,2d4,U,beast,,,T,4,18,11,2,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,11,B,30,,,,,,60,,30,,,TRUE,"[""Flyby""]",,,,,,TRUE,,,FALSE,,"I,P",,,FALSE,,,,FALSE,,,,,,,,"grassland, forest, urban, desert",MW,MM,FALSE,,,,,,TRUE,
