name,_copy/name,_copy/_mod/*/flags,_copy/_mod/_/mode,_copy/_mod/_/spells/7,_copy/_mod/action,_copy/_mod/action/items/entries,_copy/_mod/action/items/name,_copy/_mod/action/mode,_copy/_mod/action/replace,_copy/_mod/trait/items,_copy/_mod/trait/mode,_copy/_templates,_copy/source,_copy/_mod/action/names,_copy/_mod/resist/items,_copy/_mod/spellcasting/items/name,_copy/_mod/spellcasting/items/spells/1/slots,_copy/_mod/spellcasting/items/spells/1/spells,_copy/_mod/spellcasting/items/spells/2/slots,_copy/_mod/spellcasting/items/spells/2/spells,_copy/_mod/spellcasting/items/spells/3/slots,_copy/_mod/spellcasting/items/spells/3/spells,_copy/_mod/spellcasting/items/spells/4/slots,_copy/_mod/spellcasting/items/spells/4/spells,_copy/_mod/spellcasting/items/spells/5/slots,_copy/_mod/spellcasting/items/spells/5/spells,_copy/_mod/spellcasting/items/spells/6/slots,_copy/_mod/spellcasting/items/spells/6/spells,_copy/_mod/spellcasting/mode,_copy/_mod/resist/mode,_copy/_mod/trait/replace,_copy/_mod/*,_copy/_mod/trait/names,_copy/_mod/action/items,_copy/_mod/trait,level,type/sidekickTags,type/sidekickType,_copy/_mod/conditionImmune/items,_copy/_mod/conditionImmune/mode,_copy/_mod/_/spells/0/spells,_copy/_mod/_/spells/5/spells,_copy/_mod/spellcasting/items/footerEntries,_copy/_mod/spellcasting/items/headerEntries,_copy/_mod/_/spells/3,_copy/_mod/_/daily/1e,_copy/_mod/_/daily/3e,_copy/_mod/_/will,_copy/_mod/_/spells/4,_copy/_mod/_/spells/5,_copy/_mod/trait/items/type,_copy/_preserve/legendaryGroup,_copy/_preserve/hasFluff,_copy/_preserve/hasFluffImages,_copy/_preserve/page,_copy/_preserve/variant,_copy/_mod/spellcasting/items/ability,_copy/_mod/spellcasting/items/will,_copy/_preserve/environment,_copy/_mod/_/spells/2,_copy/_mod/spellcasting/items/spells/0/spells,_copy/_mod/reaction/items/entries,_copy/_mod/reaction/items/name,_copy/_mod/reaction/mode,_copy/_mod/trait/items/page,_copy/_mod/trait/items/source,_copy/_mod/variant,_copy/_mod/languages,_copy/_mod/languages/items,_copy/_mod/languages/mode,_copy/_mod/spellcasting,_copy/_mod/spellcasting/items,_copy,shortName,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reactionHeader,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,legendaryHeader,mythic,mythicHeader,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Yuan-ti Nightmare Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,71,13d8 + 13,N E,monstrosity,"shapechanger, yuan-ti",,M,16,14,13,14,12,16,5,,3,,,,,,,,,4,,,,,5,,,,,,,,,11,SD,30,,,,,,,,,,,"[{""entries"":[""The yuan-ti can use its action to polymorph into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. If it dies, it stays in its current form.""],""name"":""Shapechanger""},{""entries"":[""The first time the yuan-ti hits with a melee attack on its turn, it can deal an extra 16 ({@damage 3d10}) necrotic damage to the target.""],""name"":""Death Fangs (2/Day)""},{""entries"":[""The yuan-ti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""}]","[""Magic Resistance"",""Shapechanger""]","[{""ability"":""cha"",""daily"":{""3"":[""{@spell suggestion}""]},""headerEntries"":[""The yuan-ti's innate spellcasting ability is Charisma (spell save {@dc 13}). The yuan-ti can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting (Yuan-ti Form Only)"",""type"":""spellcasting"",""will"":[""{@spell animal friendship} (snakes only)""]},{""ability"":""cha"",""headerEntries"":[""The yuan-ti is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save {@dc 13}, {@hit 5} to hit with spell attacks). It regains its expended spell slots when it finishes a short or long rest. It knows the following warlock spells:""],""name"":""Spellcasting (Yuan-ti Form Only)"",""spells"":{""0"":{""spells"":[""{@spell chill touch}"",""{@spell eldritch blast} (range 300 ft., +3 bonus to each damage roll)"",""{@spell mage hand}"",""{@spell message}"",""{@spell poison spray}"",""{@spell prestidigitation}""]},""3"":{""lower"":1,""slots"":2,""spells"":[""{@spell arms of Hadar}"",""{@spell darkness}"",""{@spell fear}"",""{@spell hex}"",""{@spell hold person}"",""{@spell hunger of Hadar}"",""{@spell witch bolt}""]}},""type"":""spellcasting""}]","A, C,I,L,N,O","CL,F,I","[""blinded"",""charmed"",""frightened"",""paralyzed""]","[""constitution"",""dexterity"",""strength"",""wisdom""]","[{""entries"":[""The yuan-ti makes one constrict attack and one scimitar attack.""],""name"":""Multiattack (Yuan-ti Form Only)""},{""entries"":[""{@atk mw} {@hit 5} to hit, reach 10 ft., one target. {@h}10 ({@damage 2d6 + 3}) bludgeoning damage, and the target is {@condition grappled} (escape {@dc 14}) if it is a Large or smaller creature. Until this grapple ends, the target is {@condition restrained}, and the yuan-ti can't constrict another target.""],""name"":""Constrict""},{""entries"":[""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) slashing damage.""],""name"":""Scimitar (Yuan-ti Form Only)""},{""entries"":[""The yuan-ti taps into the nightmares of a creature it can see within 60 feet of it and creates an illusory, immobile manifestation of the creature's deepest fears, visible only to that creature. The target must make a {@dc 13} Intelligence saving throw. On a failed save, the target takes 11 ({@damage 2d10}) psychic damage and is {@condition frightened} of the manifestation, believing it to be real. The yuan-ti must concentrate to maintain the illusion (as if {@status concentration||concentrating} on a spell), which lasts for up to 1 minute and can't be harmed. The target can repeat the saving throw at the end of each of its turns, ending the illusion on a success, or taking 11 ({@damage 2d10}) psychic damage on a failure.""],""name"":""Invoke Nightmare (Recharges after a Short or Long Rest)""}]","[""Multiattack""]",,,,"[""frightened"",""grappled"",""restrained""]","B, N,S,Y","[""intelligence""]",,,,,,,,,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",scimitar,"underdark, forest, desert","MLW,MW, RCH",VGM,FALSE,,,,,TRUE,TRUE,
Yuan-ti Nightmare Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,4,14,71,13d8 + 13,N E,monstrosity,warlock,,M,16,14,13,14,12,16,5,,3,,,,,,,,,4,,,,,5,,,,,,,,,11,SD,30,,,,,,,,,,,"[{""entries"":[""Magical darkness doesn't impede the yuan-ti's {@sense darkvision}.""],""name"":""Devil's Sight""},{""entries"":[""The yuan-ti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""}]","[""Devil's Sight"",""Magic Resistance""]","[{""ability"":""cha"",""daily"":{""2e"":[""{@spell darkness}"",""{@spell fear}""],""3"":[""{@spell suggestion}""]},""displayAs"":""action"",""headerEntries"":[""The yuan-ti casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save {@dc 13}):""],""name"":""Spellcasting (Yuan-ti Form Only)"",""type"":""spellcasting"",""will"":[""{@spell animal friendship} (snakes only)"",""{@spell mage hand}"",""{@spell message}"",""{@spell prestidigitation}""]}]",,F,"[""charmed"",""frightened""]","[""wisdom""]","[{""entries"":[""The yuan-ti makes one Constrict attack and one Scimitar attack, or it makes two Spectral Fangs attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 5} to hit, reach 10 ft., one target. {@h}10 ({@damage 2d6 + 3}) bludgeoning damage, and the target is {@condition grappled} (escape {@dc 14}) if it is a Large or smaller creature. Until this grapple ends, the target is {@condition restrained}. The yuan-ti can constrict only one creature at a time.""],""name"":""Constrict""},{""entries"":[""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) slashing damage.""],""name"":""Scimitar (Yuan-ti Form Only)""},{""entries"":[""{@atk rs} {@hit 5} to hit, range 120 ft., one target. {@h}16 ({@damage 3d8 + 3}) necrotic damage.""],""name"":""Spectral Fangs""},{""entries"":[""The yuan-ti taps into the nightmares of one creature it can see within 60 feet of it and creates an illusory, immobile manifestation of the creature's deepest fears, visible only to that creature."",""The target must make a {@dc 13} Intelligence saving throw. On a failed save, the target takes 22 ({@damage 4d10}) psychic damage and is {@condition frightened} of the manifestation, believing it to be real. The yuan-ti must concentrate to maintain the illusion (as if {@status concentration||concentrating} on a spell), which lasts for up to 1 minute and can't be harmed. The target can repeat the saving throw at the end of each of its turns, ending the illusion on a success or taking 11 ({@damage 2d10}) psychic damage on a failure.""],""name"":""Invoke Nightmare (Recharges after a Short or Long Rest)""}]","[""Multiattack"",""Shapechanger""]","[{""entries"":[""The yuan-ti transforms into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. If it dies, it stays in its current form.""],""name"":""Change Shape""}]",,,"[""frightened"",""grappled"",""restrained""]","B, N,Y","[""intelligence""]",,,,,,,,,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR",scimitar,"desert, forest, underdark","MLW,MW, RCH",MPMM,FALSE,,,,,,,
Fenthaza,Yuan-ti Nightmare Speaker,i,,,,,,,,,,,VGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ToA,FALSE,,,,,,,
Yuan-ti Pureblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,1,11,40,9d8,N E,humanoid,yuan-ti,,M,11,12,11,13,12,14,,,,,,,,,,3,,3,,,,,6,,,,,,,,,13,D,30,,,,,,,,,,,"[{""entries"":[""The yuan-ti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""}]","[""Magic Resistance""]","[{""ability"":""cha"",""daily"":{""3e"":[""{@spell poison spray}"",""{@spell suggestion}""]},""headerEntries"":[""The yuan-ti's spellcasting ability is Charisma (spell save {@dc 12}). The yuan-ti can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell animal friendship} (snakes only)""]}]",I,I,,"[""constitution"",""wisdom""]","[{""entries"":[""The yuan-ti makes two melee attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 3} to hit, reach 5 ft., one target. {@h}4 ({@damage 1d6 + 1}) slashing damage.""],""name"":""Scimitar""},{""entries"":[""{@atk rw} {@hit 3} to hit, range 80/320 ft., one target. {@h}4 ({@damage 1d6 + 1}) piercing damage plus 7 ({@damage 2d6}) poison damage.""],""name"":""Shortbow""}]","[""Multiattack""]",,,,,"I,P,S",,,,,,,,,,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","scimitar, shortbow","forest, swamp, urban, desert","MLW,MW, RNG, RW",MM,FALSE,,,,,,TRUE,
Salida,TRUE,i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,11,40,9d8,N E,humanoid,yuan-ti,,M,11,12,11,13,12,14,,,,,,,,,,3,,3,,,,,6,,,,,,,5,,13,D,30,,,,,,,,,,,"[{""entries"":[""The yuan-ti has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""}]","[""Magic Resistance""]","[{""ability"":""cha"",""daily"":{""3e"":[""{@spell poison spray}"",""{@spell suggestion}""]},""headerEntries"":[""The yuan-ti's spellcasting ability is Charisma (spell save {@dc 12}). The yuan-ti can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell animal friendship} (snakes only)""]}]",I,I,,"[""constitution"",""wisdom""]","[{""entries"":[""The yuan-ti makes two melee attacks.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 3} to hit, reach 5 ft., one target. {@h}4 ({@damage 1d6 + 1}) slashing damage.""],""name"":""Scimitar""},{""entries"":[""{@atk rw} {@hit 3} to hit, range 80/320 ft., one target. {@h}4 ({@damage 1d6 + 1}) piercing damage plus 7 ({@damage 2d6}) poison damage.""],""name"":""Shortbow""}]","[""Multiattack""]",,,,,"I,P,S",,,,,,,,,,,,"[""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic""]","AB,C,DR","scimitar, shortbow","forest, swamp, urban, desert","MLW,MW, RNG, RW",ToA,FALSE,,,,,,,
Yuan-ti Priest,Yuan-ti Malison (Type 3),,,,,,,removeArr,,,,,MM,Longbow (Yuan-ti Form Only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""ability"":""cha"",""daily"":{""3"":[""{@spell suggestion}""]},""headerEntries"":[""The yuan-ti's innate spellcasting ability is Charisma (spell save {@dc 13}, {@hit 5} to hit with spell attacks). The yuan-ti can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting (Yuan-ti Form Only)"",""type"":""spellcasting"",""will"":[""{@spell animal friendship} (snakes only)"",""{@spell eldritch blast} (2 beams)"",""{@spell minor illusion}"",""{@spell poison spray}""]}]","I,O",,,"[""constitution"",""wisdom""]",,,,,,,,,,,,,,,,,,,,,,,,,MW,ToA,FALSE,,,,,,,
Oussa,Yuan-ti Malison (Type 3),i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TftYP,FALSE,,,,,,,
Brom Martikov,Young Wereraven,i,,,,,,,,,,,CoS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoS,FALSE,,,,,,,
Bray Martikov,Young Wereraven,i,,,,,,,,,,,CoS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoS,FALSE,,,,,,,
Hellion (Large),Young Remorhaz,,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSK,FALSE,,,,,,,
