,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
302,giff,,6,humanoid,Medium,16,60,,lawful neutral,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
736,yochlol,,13,"fiend (demon, shapechanger)",Medium,15,136,,chaotic evil,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
563,scorpion,https://www.aidedd.org/dnd/monstres.php?vo=scorpion,3,beast,Tiny,11,1,,unaligned,,Monster Manual (SRD),2.0,11.0,8.0,1.0,8.0,2.0,0,0,0,0,0,0
668,tyrannosaurus-rex,https://www.aidedd.org/dnd/monstres.php?vo=tyrannosaurus-rex,11,beast,Huge,13,136,,unaligned,,Monster Manual (SRD),25.0,10.0,19.0,2.0,12.0,9.0,0,0,0,0,0,0
537,raven,https://www.aidedd.org/dnd/monstres.php?vo=raven,3,beast,Tiny,12,1,fly,unaligned,,Monster Manual (SRD),2.0,14.0,8.0,2.0,12.0,6.0,0,0,0,0,0,0
508,panther,https://www.aidedd.org/dnd/monstres.php?vo=panther,1,beast,Medium,12,13,,unaligned,,Monster Manual (SRD),14.0,15.0,10.0,3.0,14.0,7.0,0,0,0,0,0,0
697,warrior-lvl-2,,3,humanoid (any race),Medium,16,19,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
572,shambling-mound,https://www.aidedd.org/dnd/monstres.php?vo=shambling-mound,8,plant,Large,15,136,swim,unaligned,,Monster Manual (SRD),18.0,8.0,16.0,5.0,10.0,5.0,0,0,0,0,0,0
38,ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,26,dragon,Gargantuan,22,487,fly,lawful good,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0,0,0,0,0,0,0
48,archdruid,,15,humanoid (any race),Medium,16,132,,any alignment,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
312,githzerai-zerth,,9,humanoid (gith),Medium,17,84,,lawful neutral,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
248,flesh-golem,https://www.aidedd.org/dnd/monstres.php?vo=flesh-golem,8,construct,Medium,9,93,,neutral,,Monster Manual (SRD),19.0,9.0,18.0,6.0,10.0,5.0,0,0,0,0,0,0
161,deathlock,,7,undead,Medium,12,36,,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
108,bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,4,humanoid (goblinoid),Medium,16,27,,chaotic evil,,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0,0,0,0,0,0,0
415,lizard-king-queen,https://www.aidedd.org/dnd/monstres.php?vo=lizard-king-queen,7,humanoid (lizardfolk),Medium,15,78,swim,chaotic evil,,Monster Manual (BR),17.0,12.0,15.0,11.0,11.0,15.0,0,0,0,0,0,0
619,stone-giant,https://www.aidedd.org/dnd/monstres.php?vo=stone-giant,10,giant,Huge,17,126,,neutral,,Monster Manual (SRD),23.0,15.0,20.0,10.0,12.0,9.0,0,0,0,0,0,0
596,spellcaster-mage-lvl-1,,3,humanoid (any race),Medium,12,9,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
129,chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,7,aberration,Large,16,93,swim,chaotic evil,,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0,0,0,0,0,0,0
633,swarm-of-quippers,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-quippers,4,swarm of Tiny beasts,Medium,13,28,swim,unaligned,,Monster Manual (SRD),13.0,16.0,9.0,1.0,7.0,2.0,0,0,0,0,0,0
601,spellcaster-mage-lvl-6,,3,humanoid (any race),Medium,12,31,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
389,jarlaxle-baenre,,18,humanoid (elf),Medium,24,123,,chaotic neutral,,Adventures (Dragon Heist),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
517,planetar,https://www.aidedd.org/dnd/monstres.php?vo=planetar,19,celestial,Large,19,200,fly,lawful good,,Monster Manual (SRD),24.0,20.0,24.0,19.0,22.0,25.0,0,0,0,0,0,0
143,crag-cat,,4,beast,Large,13,34,,unaligned,,Adventures (Storm King's Thunder),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
478,noble,https://www.aidedd.org/dnd/monstres.php?vo=noble,0,humanoid (any race),Medium,15,9,,any alignment,,Monster Manual (SRD),11.0,12.0,11.0,12.0,14.0,16.0,0,0,0,0,0,0
