,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,legendary_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
182,dolphin,https://www.aidedd.org/dnd/monstres.php?vo=dolphin,0,beast,Medium,12,11,swim,unaligned,0,Volo's Guide to Monsters,14.0,13.0,13.0,6.0,12.0,7.0,1,0,0,0,0,0,0
540,red-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=red-dragon-wyrmling,7,dragon,Medium,17,75,fly,chaotic evil,0,Monster Manual (SRD),19.0,10.0,17.0,12.0,11.0,15.0,1,0,0,0,0,0,0
114,cambion,,8,fiend,Medium,19,82,fly,any evil alignment,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
407,laeral-silverhand,https://www.aidedd.org/dnd/monstres.php?vo=laeral-silverhand,20,humanoid (human),Medium,18,228,,chaotic good,0,Adventures (Dragon Heist),13.0,17.0,20.0,20.0,20.0,19.0,1,0,0,0,0,0,0
185,draft-horse,https://www.aidedd.org/dnd/monstres.php?vo=draft-horse,1,beast,Large,10,19,,unaligned,0,Monster Manual (SRD),18.0,10.0,12.0,2.0,11.0,7.0,1,0,0,0,0,0,0
695,warlord,,15,humanoid (any race),Medium,18,229,,any alignment,1,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,1,1,1,1,1
352,hawk,https://www.aidedd.org/dnd/monstres.php?vo=hawk,3,beast,Tiny,13,1,fly,unaligned,0,Monster Manual (SRD),5.0,16.0,8.0,2.0,14.0,6.0,1,0,0,0,0,0,0
553,rug-of-smothering,https://www.aidedd.org/dnd/monstres.php?vo=rug-of-smothering,5,construct,Large,12,33,,unaligned,0,Monster Manual (SRD),17.0,14.0,10.0,1.0,3.0,1.0,1,0,0,0,0,0,0
580,skull-lasher-of-myrkul,,4,humanoid (human),Medium,12,32,,neutral evil,0,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
469,neogi,,6,aberration,Small,15,33,,lawful evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
757,yuan-ti-pureblood,https://www.aidedd.org/dnd/monstres.php?vo=yuan-ti-pureblood,4,humanoid (yuan-ti),Medium,11,40,,neutral evil,0,Monster Manual (BR),11.0,12.0,11.0,13.0,12.0,14.0,1,0,0,0,0,0,0
160,death-s-head-of-bhaal,,8,humanoid (human),Medium,15,76,,chaotic evil,0,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
681,velociraptor,,1,beast,Tiny,13,10,,unaligned,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
698,warrior-lvl-3,,3,humanoid (any race),Medium,16,26,,any alignment,0,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
51,armanite,,10,fiend (demon),Large,16,84,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
378,illusionist,,6,humanoid (any race),Medium,12,38,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
