,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,hp/average_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,_copy/_mod/trait/items/entries_missing,_copy/_mod/trait/items/name_missing,legendaryActions_missing,legendary_missing,summonedBySpellLevel_missing,sidekickHidden_missing
2669,Hobgoblin Iron Shadow,False,,5,15,32.0,5d8 + 10,L N,fey,goblinoid,,M,14,16,15,14,15,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,12,D,40.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,,"[{""ability"":""int"",""daily"":{""1e"":[""{@spell charm person}"",""{@spell disguise self}"",""{@spell silent image}""]},""displayAs"":""action"",""headerEntries"":[""The hobgoblin casts one of the following spells, using Intelligence as the spellcasting ability (spell save {@dc 12}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell minor illusion}"",""{@spell prestidigitation}""]}]",,O,"[""charmed""]","[""wisdom""]",True,"[""Multiattack""]",,False,,"B, P",,-1.0,0,,,,False,,,,,"[""Common"",""Goblin""]","C,GO",dart,"forest, grassland, hill",MW,MPMM,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
3175,Torcheater,False,,3,12,3.0,1d4 + 1,U,monstrosity,,,T,2,14,12,2,11,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,10,D,5.0,,-1.0,,-1.0,,30.0,,-1.0,-1.0,-1.0,True,,,,,,,True,,,False,,F,,-1.0,0,,,,False,,,"[""fire""]",,,,,,"AOE, MW",GHLoE,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
615,Pit Fiend,,,23,19,300.0,24d10 + 168,L E,fiend,devil,,L,26,14,24,22,18,24,-1.0,-1.0,10.0,13.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,14,U,30.0,,-1.0,,-1.0,,60.0,,-1.0,-1.0,-1.0,True,"[""Magic Resistance"",""Magic Weapons""]","[{""ability"":""cha"",""daily"":{""3e"":[""{@spell hold monster}"",""{@spell wall of fire}""]},""headerEntries"":[""The pit fiend's spellcasting ability is Charisma (spell save {@dc 21}). The pit fiend can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell detect magic}"",""{@spell fireball}""]}]",F,I,"[""paralyzed""]","[""dexterity"",""wisdom""]",True,"[""Multiattack""]",,False,"[""frightened"",""poisoned""]","B, F,I,P,S","[""constitution"",""wisdom""]",-1.0,0,,,,False,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""poisoned""]","[""Infernal"",""telepathy 120 ft.""]","I,TP",mace,,"MLW,MW, RCH",MM,False,,,-1.0,,True,True,-1.0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
195,Grung,False,,1,12,11.0,2d6 + 4,A,humanoid,,,S,7,14,15,10,11,10,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,4.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,,12,,25.0,,-1.0,,25.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Amphibious""]",,,,,,True,,,False,"[""charmed"",""frightened"",""poisoned""]","I,P","[""constitution""]",-1.0,0,,,,False,,,"[""poison""]","[""poisoned""]",Grung,OTH,dagger,forest,"MLW,MW, RW, THW",MPMM,False,,,-1.0,,True,,-1.0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
2700,Belak the Outcast,True,True,5,16,27.0,5d8 + 5,A,humanoid,Human,,M,10,12,13,12,15,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,,14,,30.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,False,,"[{""ability"":""wis"",""headerEntries"":[""The druid is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save {@dc 12}, {@hit 4} to hit with spell attacks). It has the following druid spells prepared:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell druidcraft}"",""{@spell poison spray}"",""{@spell shillelagh}""]},""1"":{""slots"":4,""spells"":[""{@spell cure wounds}"",""{@spell entangle}"",""{@spell faerie fire}"",""{@spell thunderwave}""]},""2"":{""slots"":3,""spells"":[""{@spell barkskin}"",""{@spell flaming sphere}""]}},""type"":""spellcasting""}]","F,I,T",CD,,"[""constitution"",""dexterity"",""strength""]",True,,,False,,B,,-1.0,0,,,,False,,,,,"[""Druidic plus any two languages""]","DU,X",quarterstaff,,"MLW,MW",TftYP,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2390,Archer,False,,6,16,75.0,10d8 + 30,A,humanoid,,,M,11,18,16,11,13,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,15,,30.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,False,,,,,,,True,"[""Multiattack""]","[{""entries"":[""Immediately after making an attack roll or a damage roll with a ranged weapon, the archer can roll a {@dice d10} and add the number rolled to the total.""],""name"":""Archer's Eye (3/Day)""}]",False,,P,,-1.0,0,,,,False,,,,,"[""any one language (usually Common)""]","C,X","longbow, shortsword","forest, urban","MLW,MW, RNG, RW",MPMM,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1899,Kakkuu Spyder-Fiend,False,False,8,15,91.0,14d8 + 28,C E,fiend,demon,,M,17,15,14,6,10,10,-1.0,-1.0,3.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,13,D,30.0,,-1.0,,30.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Magic Resistance"",""Spider Climb"",""Web Sense"",""Web Walker""]",,,,,,True,"[""Multiattack""]",,False,,"I,P",,-1.0,0,,,,False,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""poisoned""]","[""understands Abyssal but can't speak""]","AB,CS",,,"AOE, MW, RW",VEoR,False,,,-1.0,,,,-1.0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
143,Living Wick,False,,1,13,28.0,8d6,U,construct,,,S,14,10,10,5,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,7,,20.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,,,,,,,True,,,False,,"B, F","[""dexterity""]",-1.0,0,,,,False,,"[""fire""]","[""poison"",""psychic""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands the languages of its creator but can't speak""]",CS,,urban,"AOE, MW",ToB1-2023,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2847,Shadow Mastiff,False,,5,12,33.0,6d8 + 6,N E,monstrosity,,,M,16,14,13,5,12,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,15,D,40.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,,,,,,,True,,"[{""entries"":[""While in dim light or darkness, the shadow mastiff becomes {@condition invisible}, along with anything it is wearing or carrying. The invisibility lasts until the shadow mastiff uses a bonus action to end it or until the shadow mastiff attacks, is in bright light, or is {@condition incapacitated}.""],""name"":""Shadow Blend""}]",False,"[""prone""]",P,"[""strength""]",-1.0,0,,,,False,"[{""cond"":true,""note"":""from nonmagical attacks while in dim light or darkness"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,,,,,"forest, hill, swamp",MW,MPMM,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
562,Jotun,False,,25,20,370.0,20d20 + 160,C N,giant,,,G,30,8,26,18,20,14,9.0,-1.0,12.0,15.0,-1.0,-1.0,11.0,11.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,,15,SD,60.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Magic Resistance""]","[{""ability"":""wis"",""daily"":{""1"":[""{@spell divination}""],""3"":[""{@spell bestow curse}"",""{@spell gust of wind}""]},""displayAs"":""action"",""headerEntries"":[""The jotun casts one of the following spells, requiring no material components and using Wisdom as the spellcasting ability (spell save {@dc 20}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell earthquake}"",""{@spell speak with animals}""]}]","B, N",O,"[""prone""]","[""constitution"",""dexterity"",""strength"",""wisdom""]",True,"[""Frightful Presence"",""Multiattack""]",,True,"[""frightened"",""prone""]","B, C","[""dexterity"",""wisdom""]",-1.0,0,,,,False,,,"[""cold"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]",,"[""Common"",""Giant""]","C,GI",greatclub,arctic,"AOE, MLW,MW, RCH, RW",ToB1-2023,False,,,-1.0,,,,-1.0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
