name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Nezznar the Black Spider,TRUE,TRUE,2,14,27,6d8,N E,humanoid,Elf,,M,9,13,10,16,14,13,,5,4,,,,5,,,4,,3,,,,,,,,,,,,,,14,SD,30,,,,,,,special form,,TRUE,"[""Fey Ancestry"",""Sunlight Sensitivity""]",Int,"C,L,O","CW,I","[""invisible""]","[""dexterity"",""wisdom""]",TRUE,,FALSE,FALSE,,"B, I",,,FALSE,,,,FALSE,,,,,"[""Elvish"",""Undercommon""]","E,U",,,MW,LMoP,FALSE,,,,,,,
Boloti,FALSE,,1,15,45,10d4 + 20,N E,fey,,,T,12,20,14,13,12,11,,,,,,,,,,3,,7,,,,,,,,,,,,,,13,D,20,,,,,,,special form,40,TRUE,"[""Amphibious"",""Camouflage""]",Int,B,F,"[""unconscious""]","[""strength""]",TRUE,,TRUE,FALSE,"[""grappled"",""restrained""]","B, P","[""strength""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Primordial"",""Sylvan""]","C,P,S",dagger,swamp,"MLW,MW, RW, THW",ToB1-2023,FALSE,,,,,,,
Android,FALSE,FALSE,5,15,91,14d8 + 28,L N,construct,,,M,18,18,15,12,13,10,,,4,5,,,,4,,7,,,,,,,,,,,,,,,,17,"B, D",30,,,,,special form; hover,30,special form,30,TRUE,,Int,,O,,,TRUE,"[""Multiattack"",""Parry""]",FALSE,TRUE,,O,"[""constitution"",""strength""]",,FALSE,,,,FALSE,"[""acid"",""fire""]",,"[""cold"",""poison""]","[""exhaustion"",""poisoned""]","[""Common plus the languages spoken by its creator""]",C,,,"MW, RW",QftIS,FALSE,,,,,,,
Magma Landshark,FALSE,FALSE,14,18,150,12d12 + 72,,elemental,,,H,22,11,22,2,14,5,,,,,,,,,,7,,,,,,,,,,,,,,,,17,"D, T",50,,50,,,,,special form,50,TRUE,"[""Illumination""]",,,,,,TRUE,"[""Swallow""]",FALSE,FALSE,"[""blinded"",""prone"",""restrained""]","B, F,P",,,FALSE,,,,FALSE,,,"[""fire""]",,,,,"mountain, underdark","AOE, MW",TDCSR,FALSE,,,,,,,
Young Magma Landshark,FALSE,FALSE,9,16,105,10d10 + 50,,elemental,,,L,20,11,21,2,10,5,,,,,,,,,,4,,,,,,,,,,,,,,,,14,"D, T",40,,40,,,,,special form,40,TRUE,"[""Illumination""]",,,,,,TRUE,,FALSE,FALSE,"[""prone""]","B, F,P",,,FALSE,,,,FALSE,,,"[""fire""]",,,,,"mountain, underdark","AOE, MW",TDCSR,FALSE,,,,,,,
Galsariad Ardyth (Tier 3),TRUE,TRUE,8,17,90,20d8,N,humanoid,"drow, wizard",,M,8,14,10,20,15,12,,8,5,,,,8,,,,,,8,,,,,,,8,,,,,,12,SD,30,,,,,hover,30,with item ,40,TRUE,"[""Fey Ancestry""]",Int,,O,"[""restrained""]","[""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,"[""exhaustion"",""restrained""]","N,O,P,Y","[""charisma"",""strength""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Draconic"",""Undercommon""]","C,DR,U",ruidium dagger,,"AOE, MLW,MW, RW, THW",CRCotN,FALSE,,,,,,,
Maggie Keeneyes (Tier 3),TRUE,TRUE,8,18,142,15d10 + 60,L N,giant,ogre,,L,20,14,18,14,14,8,,,,7,,8,,,5,5,,,,,,8,,,,,5,,,,adv,16,D,30,,,,,,,with item ,30,TRUE,,,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""exhaustion"",""prone""]","B, S","[""charisma"",""strength""]",,FALSE,,,,FALSE,"[{""note"":""(granted by ruidium armor)"",""resist"":[""psychic""]}]",,,"[""charmed"",""frightened""]","[""Common"",""Giant""]","C,GI",,,"MLW,MW, RCH, RW",CRCotN,FALSE,,,,,,,
Dermot Wurder (Tier 3),TRUE,TRUE,8,20,93,17d6 + 34,L G,humanoid,"cleric, goblin, goblinoid",,S,18,12,14,10,20,10,3,,8,,,,,,,,,,,,,,,,8,,,3,,8,,15,D,30,,,,,,,with item ,30,TRUE,,Wis,,O,,"[""dexterity""]",TRUE,"[""Multiattack""]",FALSE,FALSE,"[""blinded"",""exhaustion""]","B, R,Y","[""charisma""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Goblin"",""Orc""]","C,GO,O",ruidium warhammer,,"MLW,MW",CRCotN,FALSE,,,,,,,
Irvan Wastewalker (Tier 3),TRUE,TRUE,8,17,123,19d8 + 38,C N,humanoid,Human,,M,10,20,14,16,16,16,,,,5,8,,,,,,,11,,8,,,9,,,,,,,6,,13,,40,,,,,,,with item ,40,TRUE,,,,,,,TRUE,"[""Multiattack""]",FALSE,FALSE,"[""exhaustion""]","I,P,Y","[""charisma""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Goblin"",""Orc""]","C,GO,O","dagger, ruidium shortsword",,"MLW,MW, RW, THW",CRCotN,FALSE,,,,,,,
Scanlan Shorthalt,TRUE,FALSE,15,16,190,20d8 + 60 + 40,,humanoid,gnome,,S,13,11,16,16,7,22,13,5,0,5,7,3,8,,,,16,,13,5,,6,16,11,,,16,,,,,8,D,25,,,,,,,,,TRUE,,Cha,"B, L,O,T, Y",CB,"[""blinded"",""charmed"",""deafened"",""frightened"",""incapacitated"",""invisible"",""paralyzed"",""unconscious""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",TRUE,,TRUE,TRUE,,"O,P",,,FALSE,,,,FALSE,"[""acid""]",,,,"[""Common"",""Gnomish"",""Marquesian""]",C G,,,MW,TDCSR,FALSE,"[""Vox Machina""]",,,,,,
Regisaur,,,14,17,181,11d20 + 66,U,monstrosity,dinosaur,,G,27,8,23,4,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,11,,40,,,,,,,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,"A, B, P","[""constitution""]",,FALSE,,,,FALSE,,,,,,,,,"MW, RCH",BGG,FALSE,"[""Dinosaurs""]",,,,,,
