,Unnamed: 0,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
2669,2669,Elvish Veteran Archer,0,0,9,16,66,12d8 + 12,A,humanoid,Elf,,M,11,18,12,11,13,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,5,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,3,0,15,,30,,-1,,-1,,-1,,-1,True,"[""Fey Ancestry"",""Keen Senses""]",,,,,,True,"[""Multiattack""]",False,False,"[""restrained""]",P,"[""dexterity""]",-1,0,,,,False,,,,,"[""Common"",""Elvish""]",C E,"longbow, shortsword",forest,"AOE, MLW,MW, RW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
3175,3175,Torcheater,0,0,6,12,3,1d4 + 1,U,monstrosity,,,T,2,14,12,2,11,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,D,5,,-1,,-1,,30,,-1,True,,,,,,,True,,False,False,,F,,-1,0,,,,False,,,"[""fire""]",,,,,,"AOE, MW",GHLoE,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
615,615,Solar,0,0,27,21,243,18d10 + 144,L G,celestial,,,L,26,22,26,25,25,30,17,14,14,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,24,U,50,,-1,,-1,,150,,-1,True,"[""Magic Resistance""]",Cha,S,I,"[""invisible""]","[""charisma"",""dexterity""]",True,"[""Multiattack""]",False,False,"[""blinded""]","F,P,R,S","[""constitution"",""dexterity""]",-1,0,,,,False,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""necrotic"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",greatsword,,"AOE, MLW,MW, RNG, RW",MM,False,"[""Angels""]",,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
195,195,Adult Flame Dragon,0,0,22,19,275,22d12 + 132,C E,dragon,,,H,19,14,23,17,14,20,10,-1,7,11,7,-1,-1,-1,-1,12,-1,7,-1,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,0,22,"B, SD",40,,-1,,40,,80,,-1,True,"[""Legendary Resistances""]",,,,,,True,"[""Breath Weapon"",""Frightful Presence"",""Multiattack""]",True,False,"[""frightened"",""prone""]","B, F,P,S","[""dexterity"",""wisdom""]",-1,0,,"[""constitution"",""dexterity""]",,False,,,"[""fire""]",,"[""Common"",""Draconic"",""Ignan""]","C,DR,IG",,"mountain, underdark","AOE, MW, RCH",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2700,2700,Werewolf (Krallenhorde),0,0,9,12,58,9d8 + 18,C E,humanoid,"Human, shapechanger",,M,15,13,14,10,11,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,,30,,-1,,-1,,-1,,-1,True,"[""Keen Senses"",""Shapechanger""]",,,,,,True,"[""Multiattack""]",False,False,,"P,S",,-1,0,,,,False,,,"[{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks not made with silvered weapons""}]",,"[""Common (can't speak in canid form)""]","C,CS",spear,,"MLW,MW, RW, THW",PSI,False,,,-1,,True,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
2390,2390,Kobold Chieftain,0,0,11,16,110,20d6 + 40,L E,humanoid,kobold,,S,18,14,14,11,13,14,5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,0,11,D,30,,-1,,-1,,-1,,-1,True,"[""Brute"",""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,True,"[""Multiattack""]",False,True,"[""frightened"",""poisoned""]","I,P","[""constitution"",""wisdom""]",-1,0,,,,False,,,,"[""charmed"",""frightened""]","[""Common"",""Draconic""]","C,DR","shortbow, spear","underdark, urban","MLW,MW, RW, THW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
1899,1899,Ordeal Tree,0,0,18,17,186,12d20 + 60,N E,plant,,,G,24,7,21,12,16,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,,20,,-1,,-1,,-1,,-1,True,"[""False Appearance""]",,,,,,True,"[""Multiattack""]",False,False,"[""grappled""]","B, N,S","[""constitution""]",-1,0,,,,False,"[""bludgeoning"",""piercing""]","[""fire""]",,,"[""Sylvan""]",S,,,"CUR, MW, RCH",GHLoE,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
143,143,Bodak,0,0,12,15,58,9d8 + 18,C E,undead,,,M,15,16,15,7,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,SD,30,,-1,,-1,,-1,,-1,True,"[""Sunlight Sensitivity"",""Unusual Nature""]",,,,,,True,,True,False,"[""frightened""]","B, N,R,Y","[""constitution""]",-1,0,,,,False,"[""cold"",""fire"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""necrotic"",""poison""]","[""charmed"",""frightened"",""poisoned""]","[""Abyssal"",""the languages it knew in life""]","AB,LF",,"swamp, underdark, urban",MW,MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2847,2847,Rutterkin,0,0,8,12,37,5d8 + 15,C E,fiend,demon,,M,14,15,17,5,12,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,SD,20,,-1,,-1,,-1,,-1,True,,,,,,,True,,False,False,"[""frightened"",""poisoned"",""restrained""]",P,"[""constitution"",""wisdom""]",-1,0,,,,False,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""charmed"",""frightened"",""poisoned""]","[""understands Abyssal but can't speak""]","AB,CS",,,"DIS, MW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
562,562,Deep One Archimandrite,0,0,14,15,153,18d10 + 54,C E,humanoid,,,L,20,16,17,12,17,19,7,-1,6,-1,6,-1,4,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,16,SD,40,,-1,,-1,,-1,,40,True,"[""Amphibious""]",Cha,"L,N,R",O,"[""charmed"",""prone"",""unconscious""]","[""dexterity"",""wisdom""]",True,"[""Multiattack""]",False,False,,"L,N,P,S",,-1,0,,,,False,"[""cold"",""thunder""]","[""fire""]",,,"[""Common"",""Void Speech""]",C,,"coastal, underwater","MLW,MW, RCH",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
