,Unnamed: 0,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
410,410,Swarm of Sunflies,0,0,7,13,22,5d8,C G,celestial,,True,M,6,17,10,4,10,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,,10,,-1,,-1,,40,,-1,True,,,,,,,True,,True,False,,P,"[""constitution""]",-1,0,,,,False,,,,,"[""understands Celestial but can't speak""]","CE,CS",,,"AOE, MW",MPP,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
11,11,Flesh Colossus,0,0,26,14,280,16d20 + 112,U,construct,,,G,24,9,24,6,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,SD,60,,-1,,-1,,-1,,-1,True,"[""Immutable Form"",""Magic Resistance"",""Siege Monster""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",True,False,,"B, O","[""dexterity""]",-1,0,,,,False,,,"[""lightning"",""poison"",""psychic"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands Giant but can't speak""]","CS,GI",,,"AOE, MW, RCH",BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
2964,2964,Giant Hyena,0,0,7,12,45,6d10 + 12,U,beast,,,L,16,14,14,2,12,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,,50,,-1,,-1,,-1,,-1,True,"[""Rampage""]",,,,,,True,,False,False,,P,,-1,0,,,,False,,,,,,,,"grassland, forest, hill, desert",MW,MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1
117,117,Aartuk Weedling,0,0,8,15,38,7d8 + 7,L E,plant,,,M,14,12,13,10,13,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,D,20,,-1,,20,,-1,,-1,True,"[""Spider Climb""]",,,,,,True,"[""Multiattack""]",True,False,"[""grappled""]","B, R","[""dexterity""]",-1,0,,,,False,,,,,"[""Aartuk""]",,,,"MW, RCH",BAM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1
2987,2987,Clockwork Dragon,0,1,7,16,22,4d8 + 4,N,construct,,,M,14,10,12,10,11,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,"B, D",30,,-1,,-1,,60,,-1,True,"[""False Appearance""]",,,,,,True,"[""Breath Weapon""]",False,False,,"F,P","[""dexterity""]",-1,0,,,,False,,,"[""poison"",""psychic""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""Common"",""Draconic""]","C,DR",,,"AOE, MW",AI,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
1114,1114,Kraken Priest,0,0,11,15,75,10d8 + 30,C E,monstrosity,,,M,12,10,16,10,15,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,15,,30,,-1,,-1,,-1,,30,True,"[""Amphibious""]",Wis,B,O,"[""prone"",""restrained""]","[""dexterity"",""strength"",""wisdom""]",True,"[""Multiattack""]",False,False,"[""frightened"",""prone""]","L,T","[""wisdom""]",-1,0,,,,False,,,,,"[""any two languages""]",X,,"coastal, underwater",,MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1
1288,1288,Slaad Tadpole,0,0,3,12,10,4d4,C N,aberration,,,T,7,15,10,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,D,30,,-1,,-1,,-1,,-1,True,"[""Magic Resistance""]",,,,,,True,,False,False,,P,,-1,0,,,,False,"[""acid"",""cold"",""fire"",""lightning"",""thunder""]",,,,"[""understands Slaad but can't speak""]","CS,OTH",,,MW,MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1
2342,2342,Cold Snap Spirit,0,1,11,18,78,12d8 + 24,,elemental,,,M,10,20,14,2,7,3,-1,-1,1,-1,8,-1,-1,-1,-1,1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,SD,30,,-1,,-1,,30,,-1,True,,,,,,,True,,False,False,,C,,-1,0,,,,False,"[{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""slashing"",""piercing""]}]","[""fire""]","[""cold"",""poison""]","[""charmed"",""frightened"",""poisoned"",""paralyzed"",""stunned""]",,,,"arctic, forest, mountain",AOE,TDCSR,False,,,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
1910,1910,Ychen Bannog,0,0,17,17,186,12d20 + 60,U,beast,,,G,28,10,21,3,12,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,,50,,-1,,-1,,-1,,-1,True,"[""Siege Monster""]",,,,,,True,"[""Multiattack""]",False,False,"[""deafened"",""prone""]","B, P,T","[""constitution"",""dexterity"",""strength""]",-1,0,,,,False,"[""bludgeoning""]",,,"[""exhaustion""]",,,,"forest, grassland","AOE, MW, RCH",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
2151,2151,Young Black Dragon,0,0,13,18,127,15d10 + 45,C E,dragon,,,L,19,14,17,12,11,15,5,-1,3,6,5,-1,-1,-1,-1,6,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,16,"B, SD",40,,-1,,-1,,80,,40,True,"[""Amphibious""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",False,False,,"A, P,S","[""dexterity""]",-1,0,,,,False,,,"[""acid""]",,"[""Common"",""Draconic""]","C,DR",,swamp,"AOE, MW, RCH",MM,False,"[""Chromatic Dragon""]",,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
